Problem Size,Database Size,Database Usage,%,Elapsed (ms)
6765,6765,6765/6765,100.00,0.007084208
10946,6765,6765/6765,100.00,0.009692292
17711,6765,6765/6765,100.00,0.013069458
28657,6765,6765/6765,100.00,0.019532208
46368,6765,6765/6765,100.00,0.033713958
6765,10946,6765/10946,61.80,0.007226417
10946,10946,10946/10946,100.00,0.011406750
17711,10946,10946/10946,100.00,0.015072458
28657,10946,10946/10946,100.00,0.020990708
46368,10946,10946/10946,100.00,0.031100667
6765,17711,6765/17711,38.20,0.006998291
10946,17711,10946/17711,61.80,0.011259042
17711,17711,17711/17711,100.00,0.018436750
28657,17711,17711/17711,100.00,0.024611417
46368,17711,17711/17711,100.00,0.034326750
6765,28657,6765/28657,23.61,0.007105416
10946,28657,10946/28657,38.20,0.011528125
17711,28657,17711/28657,61.80,0.018756250
28657,28657,28657/28657,100.00,0.030292208
46368,28657,28657/28657,100.00,0.039737292
6765,46368,6765/46368,14.59,0.007064500
10946,46368,10946/46368,23.61,0.011333833
17711,46368,17711/46368,38.20,0.019317250
28657,46368,28657/46368,61.80,0.033582708
46368,46368,46368/46368,100.00,0.049416667
