Customer Size,Database Size,Search Keyword,Type,Elapsed (ms)
6765,6765,1000,GOOD,0.002266792
6765,6765,1000,BAD,0.000713458
10946,6765,1000,GOOD,0.002291875
10946,6765,1000,BAD,0.001707584
17711,6765,1000,GOOD,0.002345083
17711,6765,1000,BAD,0.001072750
28657,6765,1000,GOOD,0.002334833
28657,6765,1000,BAD,0.002066583
46368,6765,1000,GOOD,0.002292959
46368,6765,1000,BAD,0.000854666
6765,10946,1000,GOOD,0.003984584
6765,10946,1000,BAD,0.000025375
10946,10946,1000,GOOD,0.003785417
10946,10946,1000,BAD,0.000567292
17711,10946,1000,GOOD,0.003800334
17711,10946,1000,BAD,0.001408500
28657,10946,1000,GOOD,0.003719208
28657,10946,1000,BAD,0.003255667
46368,10946,1000,GOOD,0.003801542
46368,10946,1000,BAD,0.000635209
6765,17711,1000,GOOD,0.006212959
6765,17711,1000,BAD,0.000557166
10946,17711,1000,GOOD,0.006168084
10946,17711,1000,BAD,0.000717625
17711,17711,1000,GOOD,0.006168959
17711,17711,1000,BAD,0.000111875
28657,17711,1000,GOOD,0.006080291
28657,17711,1000,BAD,0.005733083
46368,17711,1000,GOOD,0.006038083
46368,17711,1000,BAD,0.000128000
6765,28657,1000,GOOD,0.009916083
6765,28657,1000,BAD,0.001922792
10946,28657,1000,GOOD,0.010361875
10946,28657,1000,BAD,0.002910083
17711,28657,1000,GOOD,0.009825833
17711,28657,1000,BAD,0.001371500
28657,28657,1000,GOOD,0.009816417
28657,28657,1000,BAD,0.009226416
46368,28657,1000,GOOD,0.009737750
46368,28657,1000,BAD,0.004011417
6765,46368,1000,GOOD,0.016135541
6765,46368,1000,BAD,0.001557042
10946,46368,1000,GOOD,0.016233208
10946,46368,1000,BAD,0.003602042
17711,46368,1000,GOOD,0.016258917
17711,46368,1000,BAD,0.003301375
28657,46368,1000,GOOD,0.016214083
28657,46368,1000,BAD,0.005688250
46368,46368,1000,GOOD,0.015937000
46368,46368,1000,BAD,0.005834041
