Customer Size,Database Size,Delete Keyword,Type,Elapsed (ms)
6765,6765,1000,BAD,0.000011791
6765,6765,1000,GOOD,0.001607042
10946,6765,1000,BAD,0.000009250
10946,6765,1000,GOOD,0.000259458
17711,6765,1000,BAD,0.000009375
17711,6765,1000,GOOD,0.000010292
28657,6765,1000,BAD,0.000011542
28657,6765,1000,GOOD,0.000009666
46368,6765,1000,BAD,0.000019041
46368,6765,1000,GOOD,0.000346792
6765,10946,1000,BAD,0.000012500
6765,10946,1000,GOOD,0.000010084
10946,10946,1000,BAD,0.000012625
10946,10946,1000,GOOD,0.001876792
17711,10946,1000,BAD,0.000010125
17711,10946,1000,GOOD,0.002592833
28657,10946,1000,BAD,0.000011500
28657,10946,1000,GOOD,0.003785084
46368,10946,1000,BAD,0.000010375
46368,10946,1000,GOOD,0.003672542
6765,17711,1000,BAD,0.000009584
6765,17711,1000,GOOD,0.002698625
10946,17711,1000,BAD,0.000009917
10946,17711,1000,GOOD,0.003555250
17711,17711,1000,BAD,0.000012917
17711,17711,1000,GOOD,0.001062625
28657,17711,1000,BAD,0.000013084
28657,17711,1000,GOOD,0.000010000
46368,17711,1000,BAD,0.000013459
46368,17711,1000,GOOD,0.005169208
6765,28657,1000,BAD,0.000011916
6765,28657,1000,GOOD,0.001106958
10946,28657,1000,BAD,0.000012958
10946,28657,1000,GOOD,0.003076625
17711,28657,1000,BAD,0.000013042
17711,28657,1000,GOOD,0.000010333
28657,28657,1000,BAD,0.000010500
28657,28657,1000,GOOD,0.011910000
46368,28657,1000,BAD,0.000010625
46368,28657,1000,GOOD,0.009801959
6765,46368,1000,BAD,0.000014000
6765,46368,1000,GOOD,0.000010542
10946,46368,1000,BAD,0.000015667
10946,46368,1000,GOOD,0.001742500
17711,46368,1000,BAD,0.000011750
17711,46368,1000,GOOD,0.002170125
28657,46368,1000,BAD,0.000013916
28657,46368,1000,GOOD,0.000046917
46368,46368,1000,BAD,0.000013875
46368,46368,1000,GOOD,0.019073375
