Problem Size,Database Size,Database Usage,%,Elapsed (ms)
6765,6765,6765/6765,100.00,5.664646541
10946,6765,6765/6765,100.00,5.620941167
17711,6765,6765/6765,100.00,5.602516083
28657,6765,6765/6765,100.00,5.603084875
46368,6765,6765/6765,100.00,5.624777291
6765,10946,6765/10946,61.80,5.597191375
10946,10946,10946/10946,100.00,14.781064500
17711,10946,10946/10946,100.00,15.566886000
28657,10946,10946/10946,100.00,14.761411042
46368,10946,10946/10946,100.00,14.815468291
6765,17711,6765/17711,38.20,5.613600208
10946,17711,10946/17711,61.80,14.979854583
17711,17711,17711/17711,100.00,39.038669292
28657,17711,17711/17711,100.00,39.103183500
46368,17711,17711/17711,100.00,38.989658334
6765,28657,6765/28657,23.61,5.619836333
10946,28657,10946/28657,38.20,14.874399208
17711,28657,17711/28657,61.80,39.267621875
28657,28657,28657/28657,100.00,104.773782166
46368,28657,28657/28657,100.00,104.774477750
6765,46368,6765/46368,14.59,5.661517584
10946,46368,10946/46368,23.61,15.008584875
17711,46368,17711/46368,38.20,39.515094667
28657,46368,28657/46368,61.80,105.672070584
46368,46368,46368/46368,100.00,282.951423834
