Customer Size,Database Size,Search Keyword,Type,Elapsed (ms)
6765,6765,1000,GOOD,0.000008833
6765,6765,1000,BAD,0.000011709
10946,6765,1000,GOOD,0.000010458
10946,6765,1000,BAD,0.000012208
17711,6765,1000,GOOD,0.000013000
17711,6765,1000,BAD,0.000011708
28657,6765,1000,GOOD,0.000008333
28657,6765,1000,BAD,0.000010875
46368,6765,1000,GOOD,0.000009333
46368,6765,1000,BAD,0.000009000
6765,10946,1000,GOOD,0.000010833
6765,10946,1000,BAD,0.000009500
10946,10946,1000,GOOD,0.000016209
10946,10946,1000,BAD,0.000010958
17711,10946,1000,GOOD,0.000012292
17711,10946,1000,BAD,0.000007750
28657,10946,1000,GOOD,0.000011375
28657,10946,1000,BAD,0.000009000
46368,10946,1000,GOOD,0.000008958
46368,10946,1000,BAD,0.000009291
6765,17711,1000,GOOD,0.000012458
6765,17711,1000,BAD,0.000019583
10946,17711,1000,GOOD,0.000009041
10946,17711,1000,BAD,0.000010208
17711,17711,1000,GOOD,0.000011791
17711,17711,1000,BAD,0.000006000
28657,17711,1000,GOOD,0.000009792
28657,17711,1000,BAD,0.000012250
46368,17711,1000,GOOD,0.000012583
46368,17711,1000,BAD,0.000012500
6765,28657,1000,GOOD,0.000011166
6765,28657,1000,BAD,0.000011125
10946,28657,1000,GOOD,0.000009833
10946,28657,1000,BAD,0.000013125
17711,28657,1000,GOOD,0.000010208
17711,28657,1000,BAD,0.000009250
28657,28657,1000,GOOD,0.000010167
28657,28657,1000,BAD,0.000015417
46368,28657,1000,GOOD,0.000011292
46368,28657,1000,BAD,0.000008375
6765,46368,1000,GOOD,0.000009250
6765,46368,1000,BAD,0.000012708
10946,46368,1000,GOOD,0.000017875
10946,46368,1000,BAD,0.000006042
17711,46368,1000,GOOD,0.000017375
17711,46368,1000,BAD,0.000008875
28657,46368,1000,GOOD,0.000013583
28657,46368,1000,BAD,0.000007750
46368,46368,1000,GOOD,0.000018708
46368,46368,1000,BAD,0.000012417
